Squad,Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Arsenal,26,38.0,1045,27.5,776,78,57,73,43,18,150,3.95,121,6,5,13,3,2.0
Aston Villa,26,38.0,751,19.76,565,50,48,38,40,10,84,2.21,55,2,6,12,6,3.0
Bournemouth,31,38.0,616,16.21,445,45,52,43,24,7,64,1.68,44,5,4,8,2,1.0
Brentford,25,38.0,702,18.47,475,99,32,45,44,7,98,2.58,65,8,4,8,11,2.0
Brighton,29,38.0,1074,28.26,819,73,80,63,27,12,114,3.0,83,3,12,9,6,1.0
Chelsea,32,38.0,859,22.61,667,66,42,42,31,11,68,1.79,57,3,2,2,4,0.0
Crystal Palace,26,38.0,746,19.63,497,67,56,49,59,18,67,1.76,43,6,6,6,4,2.0
Everton,28,38.0,735,19.34,495,84,37,54,45,20,59,1.55,41,5,5,2,4,2.0
Fulham,29,38.0,751,19.76,528,78,29,54,47,15,90,2.37,56,9,5,11,7,2.0
Leeds United,29,38.0,783,20.61,535,99,32,54,48,15,69,1.82,43,7,4,9,3,3.0
Leicester City,28,38.0,744,19.58,540,52,50,50,38,14,87,2.29,59,2,8,8,7,3.0
Liverpool,28,38.0,1046,27.53,778,85,55,75,33,20,129,3.39,97,9,7,8,7,1.0
Manchester City,24,38.0,1099,28.92,826,81,53,76,49,14,168,4.42,130,7,8,9,12,2.0
Manchester United,26,38.0,1051,27.66,840,58,46,63,35,9,99,2.61,79,3,8,5,4,0.0
Newcastle United,27,38.0,1008,26.53,690,110,62,77,57,12,106,2.79,64,6,15,10,6,5.0
Nottingham Forest,33,38.0,593,15.61,416,59,31,38,36,13,54,1.42,31,5,4,11,3,0.0
Southampton,36,38.0,718,18.89,493,77,46,51,38,13,61,1.61,35,5,7,5,6,3.0
Tottenham Hotspur,29,38.0,910,23.95,692,60,46,55,38,19,116,3.05,84,7,7,9,7,2.0
West Ham,25,38.0,817,21.5,586,81,39,61,35,15,67,1.76,41,6,5,9,6,0.0
Wolves,32,38.0,713,18.76,521,62,30,47,42,11,44,1.16,3,0,0,0,0,
